tweet_id,favorites,retweets,user_followers,user_favourites,date_time
881633300179243008,127,7,6742838,133084,2017-07-02 21:58:53
881536004380872706,49623,16179,6742838,133084,2017-07-02 15:32:16
881268444196462592,23136,5208,6742838,133084,2017-07-01 21:49:04
880935762899988482,17058,2814,6742838,133084,2017-06-30 23:47:07
880872448815771648,21365,3866,6742838,133084,2017-06-30 19:35:32
880465832366813184,28616,6366,6742838,133084,2017-06-29 16:39:47
880221127280381952,27160,4287,6742838,133084,2017-06-29 00:27:25
880095782870896641,27705,4414,6742838,133084,2017-06-28 16:09:20
879862464715927552,22370,3544,6742838,133084,2017-06-28 00:42:13
879674319642796034,314,10,6742838,133084,2017-06-27 12:14:36
879492040517615616,23479,3225,6742838,133084,2017-06-27 00:10:17
879415818425184262,106223,44739,6742838,133084,2017-06-26 19:07:24
879376492567855104,16813,3159,6742838,133084,2017-06-26 16:31:08
879130579576475649,0,6938,6742838,133084,2017-06-26 00:13:58
879050749262655488,22663,4776,6742838,133084,2017-06-25 18:56:45
879008229531029506,19027,2730,6742838,133084,2017-06-25 16:07:47
878776093423087618,19440,4181,6742838,133084,2017-06-25 00:45:22
878604707211726852,30384,7346,6742838,133084,2017-06-24 13:24:20
878404777348136964,0,1312,6742838,133084,2017-06-24 00:09:53
878316110768087041,0,6759,6742838,133084,2017-06-23 18:17:33
878281511006478336,7781,1312,6742838,133084,2017-06-23 16:00:04
878057613040115712,42189,6938,6742838,133084,2017-06-23 01:10:23
877736472329191424,80278,19460,6742838,133084,2017-06-22 03:54:17
877611172832227328,0,81,6742838,133084,2017-06-21 19:36:23
877556246731214848,22850,3885,6742838,133084,2017-06-21 15:58:08
877316821321428993,27444,5257,6742838,133084,2017-06-21 00:06:44
877201837425926144,27243,5685,6742838,133084,2017-06-20 16:29:50
876838120628539392,20759,3415,6742838,133084,2017-06-19 16:24:33
876537666061221889,23530,4683,6742838,133084,2017-06-18 20:30:39
876484053909872640,18840,2441,6742838,133084,2017-06-18 16:57:37
876120275196170240,28037,4772,6742838,133084,2017-06-17 16:52:05
875747767867523072,25307,4366,6742838,133084,2017-06-16 16:11:53
875144289856114688,22014,5008,6742838,133084,2017-06-15 00:13:52
875097192612077568,27539,6148,6742838,133084,2017-06-14 21:06:43
875021211251597312,25592,4793,6742838,133084,2017-06-14 16:04:48
874680097055178752,27978,4725,6742838,133084,2017-06-13 17:29:20
874434818259525634,0,15061,6742838,133084,2017-06-13 01:14:41
874296783580663808,26193,4192,6742838,133084,2017-06-12 16:06:11
874057562936811520,22763,4027,6742838,133084,2017-06-12 00:15:36
874012996292530176,34892,10670,6742839,133084,2017-06-11 21:18:31
873580283840344065,24394,4024,6742839,133084,2017-06-10 16:39:04
873337748698140672,0,1621,6742839,133084,2017-06-10 00:35:19
